>> MOGAMO
Starting parallel pool (parpool) using the 'local' profile ... connected to 8 workers.

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1            40         0.05212         0.07213        0
    2            60         0.05272         0.06989        1
    3            80         0.05593          0.0671        2
    4           100         0.04149         0.06381        0
    5           120          0.0483         0.06501        1
    6           140         0.04229         0.05954        0
    7           160         0.04628         0.05756        1
    8           180         0.02781         0.05729        0
    9           200         0.02535         0.05474        0
   10           220         0.02483          0.0461        0
   11           240         0.02462         0.03505        0
   12           260         0.02444         0.03189        0
   13           280         0.02529         0.03035        1
   14           300         0.02272         0.03022        0
   15           320         0.02456         0.02972        1
   16           340         0.02461         0.03048        2
   17           360         0.02398         0.02991        0
   18           380         0.02465         0.03034        1
   19           400         0.02443         0.02872        0
   20           420         0.02425         0.02884        0
   21           440         0.02447         0.02694        1
   22           460         0.02393         0.02829        0
   23           480         0.02447         0.03103        1
   24           500         0.02328         0.03421        0
   25           520           0.024           0.029        1
   26           540         0.02426         0.02987        2
   27           560          0.0249         0.03191        3
   28           580         0.02351         0.03169        0
   29           600         0.02585         0.02729        1

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   30           620          0.0242         0.02965        0
   31           640         0.02343         0.03119        0
   32           660         0.02294         0.02872        0
   33           680         0.02464         0.02808        1
   34           700         0.02445         0.02842        0
   35           720         0.02404         0.02932        0
   36           740         0.02395         0.02848        0
   37           760         0.02401         0.02628        1
   38           780         0.02458         0.02647        2
   39           800          0.0244          0.0265        0
   40           820         0.02404         0.02629        0
   41           840         0.02475         0.02647        1
   42           860         0.02334         0.02638        0
   43           880         0.02309         0.02625        0
   44           900         0.02415         0.02631        1
   45           920         0.02471          0.0269        2
   46           940         0.02412         0.02669        0
   47           960         0.02422          0.0266        1
   48           980         0.02411         0.02681        0
   49          1000         0.02395         0.02644        0
   50          1020         0.02421         0.02652        1
   51          1040         0.02331         0.02654        0
   52          1060         0.02428         0.02636        1
   53          1080         0.02376         0.02622        0
   54          1100         0.02456          0.0266        1
   55          1120         0.02389         0.02618        0
   56          1140         0.02517         0.02686        1
   57          1160         0.02341         0.02652        0
   58          1180         0.02443         0.02673        1
   59          1200         0.02365         0.02608        0

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
   60          1220         0.02441         0.02686        1
Optimization terminated: maximum number of generations exceeded.
Elapsed time is 7727.260635 seconds.

Best options for fonsecafleming:

ans = 

  struct with fields:

    CrossoverFraction: 1
         CrossoverFcn: @crossoverarithmetic


                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1            40          0.5599          0.6298        0
